#For example
#bin	name	om	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
18	ENSG00000111671_exon_2_11	12	-	6872092	6872192	6872092	6872192	1	6872092	6872192	0	ENSG00000111671_exon_2_11	cmpl	cmpl	0
19	ENSG00000111671_exon_2_12	12	-	6872142	6872242	6872142	6872242	1	6872142	6872242	0	ENSG00000111671_exon_2_12	cmpl	cmpl	0
20	ENSG00000111671_exon_2_13	12	-	6872192	6872292	6872192	6872292	1	6872192	6872292	0	ENSG00000111671_exon_2_13	cmpl	cmpl	0
21	ENSG00000111671_exon_2_14	12	-	6872242	6872342	6872242	6872342	1	6872242	6872342	0	ENSG00000111671_exon_2_14	cmpl	cmpl	0
22	ENSG00000111671_exon_2_15	12	-	6872292	6872392	6872292	6872392	1	6872292	6872392	0	ENSG00000111671_exon_2_15	cmpl	cmpl	0
23	ENSG00000111671_exon_2_16	12	-	6872342	6872442	6872342	6872442	1	6872342	6872442	0	ENSG00000111671_exon_2_16	cmpl	cmpl	0
24	ENSG00000111671_exon_2_17	12	-	6872392	6872492	6872392	6872492	1	6872392	6872492	0	ENSG00000111671_exon_2_17	cmpl	cmpl	0
25	ENSG00000111671_exon_2_18	12	-	6872442	6872542	6872442	6872542	1	6872442	6872542	0	ENSG00000111671_exon_2_18	cmpl	cmpl	0
26	ENSG00000111671_exon_2_19	12	-	6872492	6872592	6872492	6872592	1	6872492	6872592	0	ENSG00000111671_exon_2_19	cmpl	cmpl	0
27	ENSG00000111671_exon_2_20	12	-	6872542	6872642	6872542	6872642	1	6872542	6872642	0	ENSG00000111671_exon_2_20	cmpl	cmpl	0
28	ENSG00000111671_exon_2_21	12	-	6872592	6872692	6872592	6872692	1	6872592	6872692	0	ENSG00000111671_exon_2_21	cmpl	cmpl	0
29	ENSG00000111671_exon_2_22	12	-	6872642	6872742	6872642	6872742	1	6872642	6872742	0	ENSG00000111671_exon_2_22	cmpl	cmpl	0
30	ENSG00000111671_exon_2_23	12	-	6872692	6872792	6872692	6872792	1	6872692	6872792	0	ENSG00000111671_exon_2_23	cmpl	cmpl	0
31	ENSG00000111671_exon_2_24	12	-	6872742	6872842	6872742	6872842	1	6872742	6872842	0	ENSG00000111671_exon_2_24	cmpl	cmpl	0
32	ENSG00000111671_exon_2_25	12	-	6872792	6872892	6872792	6872892	1	6872792	6872892	0	ENSG00000111671_exon_2_25	cmpl	cmpl	0
33	ENSG00000111671_exon_2_26	12	-	6872842	6872942	6872842	6872942	1	6872842	6872942	0	ENSG00000111671_exon_2_26	cmpl	cmpl	0
34	ENSG00000111671_exon_2_27	12	-	6872892	6872992	6872892	6872992	1	6872892	6872992	0	ENSG00000111671_exon_2_27	cmpl	cmpl	0
35	ENSG00000111671_exon_2_28	12	-	6872942	6873042	6872942	6873042	1	6872942	6873042	0	ENSG00000111671_exon_2_28	cmpl	cmpl	0
36	ENSG00000111671_exon_3_1	12	-	6873214	6873314	6873214	6873314	1	6873214	6873314	0	ENSG00000111671_exon_3_1	cmpl	cmpl	0
37	ENSG00000111671_exon_3_2	12	-	6873264	6873364	6873264	6873364	1	6873264	6873364	0	ENSG00000111671_exon_3_2	cmpl	cmpl	0
38	ENSG00000111671_exon_4_1	12	-	6873639	6873739	6873639	6873739	1	6873639	6873739	0	ENSG00000111671_exon_4_1	cmpl	cmpl	0
39	ENSG00000111671_exon_4_2	12	-	6873689	6873789	6873689	6873789	1	6873689	6873789	0	ENSG00000111671_exon_4_2	cmpl	cmpl	0
40	ENSG00000111671_exon_5_1	12	-	6875763	6875863	6875763	6875863	1	6875763	6875863	0	ENSG00000111671_exon_5_1	cmpl	cmpl	0
41	ENSG00000111671_exon_5_2	12	-	6875813	6875913	6875813	6875913	1	6875813	6875913	0	ENSG00000111671_exon_5_2	cmpl	cmpl	0
42	ENSG00000111671_exon_5_3	12	-	6875863	6875963	6875863	6875963	1	6875863	6875963	0	ENSG00000111671_exon_5_3	cmpl	cmpl	0
43	ENSG00000111671_exon_6_1	12	-	6877498	6877598	6877498	6877598	1	6877498	6877598	0	ENSG00000111671_exon_6_1	cmpl	cmpl	0
44	ENSG00000111671_exon_6_2	12	-	6877548	6877648	6877548	6877648	1	6877548	6877648	0	ENSG00000111671_exon_6_2	cmpl	cmpl	0
45	ENSG00000111671_exon_7_1	12	-	6882189	6882289	6882189	6882289	1	6882189	6882289	0	ENSG00000111671_exon_7_1	cmpl	cmpl	0
46	ENSG00000111671_exon_8_1	12	-	6889305	6889405	6889305	6889405	1	6889305	6889405	0	ENSG00000111671_exon_8_1	cmpl	cmpl	0
47	ENSG00000187223_exon_2_1	1	+	152664084	152664184	152664084	152664184	1	152664084	152664184	0	ENSG00000187223_exon_2_1	cmpl	cmpl	0
48	ENSG00000187223_exon_2_2	1	+	152664134	152664234	152664134	152664234	1	152664134	152664234	0	ENSG00000187223_exon_2_2	cmpl	cmpl	0
49	ENSG00000187223_exon_2_3	1	+	152664184	152664284	152664184	152664284	1	152664184	152664284	0	ENSG00000187223_exon_2_3	cmpl	cmpl	0
50	ENSG00000187223_exon_2_4	1	+	152664234	152664334	152664234	152664334	1	152664234	152664334	0	ENSG00000187223_exon_2_4	cmpl	cmpl	0
51	ENSG00000187223_exon_2_5	1	+	152664284	152664384	152664284	152664384	1	152664284	152664384	0	ENSG00000187223_exon_2_5	cmpl	cmpl	0
52	ENSG00000187223_exon_2_6	1	+	152664334	152664434	152664334	152664434	1	152664334	152664434	0	ENSG00000187223_exon_2_6	cmpl	cmpl	0
53	ENSG00000187223_exon_2_7	1	+	152664384	152664484	152664384	152664484	1	152664384	152664484	0	ENSG00000187223_exon_2_7	cmpl	cmpl	0
54	ENSG00000187223_exon_2_8	1	+	152664434	152664534	152664434	152664534	1	152664434	152664534	0	ENSG00000187223_exon_2_8	cmpl	cmpl	0
55	ENSG00000187223_exon_2_9	1	+	152664484	152664584	152664484	152664584	1	152664484	152664584	0	ENSG00000187223_exon_2_9	cmpl	cmpl	0
56	ENSG00000187223_exon_2_10	1	+	152664534	152664634	152664534	152664634	1	152664534	152664634	0	ENSG00000187223_exon_2_10	cmpl	cmpl	0
57	ENSG00000187223_exon_2_11	1	+	152664584	152664684	152664584	152664684	1	152664584	152664684	0	ENSG00000187223_exon_2_11	cmpl	cmpl	0
58	ENSG00000110514_exon_1_1	11	+	47269160	47269260	47269160	47269260	1	47269160	47269260	0	ENSG00000110514_exon_1_1	cmpl	cmpl	0
59	ENSG00000110514_exon_1_2	11	+	47269210	47269310	47269210	47269310	1	47269210	47269310	0	ENSG00000110514_exon_1_2	cmpl	cmpl	0
60	ENSG00000110514_exon_2_1	11	+	47269375	47269475	47269375	47269475	1	47269375	47269475	0	ENSG00000110514_exon_2_1	cmpl	cmpl	0
61	ENSG00000110514_exon_2_2	11	+	47269425	47269525	47269425	47269525	1	47269425	47269525	0	ENSG00000110514_exon_2_2	cmpl	cmpl	0
62	ENSG00000110514_exon_2_3	11	+	47269475	47269575	47269475	47269575	1	47269475	47269575	0	ENSG00000110514_exon_2_3	cmpl	cmpl	0
63	ENSG00000110514_exon_2_4	11	+	47269525	47269625	47269525	47269625	1	47269525	47269625	0	ENSG00000110514_exon_2_4	cmpl	cmpl	0
64	ENSG00000110514_exon_2_5	11	+	47269575	47269675	47269575	47269675	1	47269575	47269675	0	ENSG00000110514_exon_2_5	cmpl	cmpl	0
65	ENSG00000110514_exon_3_1	11	+	47269671	47269771	47269671	47269771	1	47269671	47269771	0	ENSG00000110514_exon_3_1	cmpl	cmpl	0
66	ENSG00000110514_exon_3_2	11	+	47269721	47269821	47269721	47269821	1	47269721	47269821	0	ENSG00000110514_exon_3_2	cmpl	cmpl	0
67	ENSG00000110514_exon_3_3	11	+	47269771	47269871	47269771	47269871	1	47269771	47269871	0	ENSG00000110514_exon_3_3	cmpl	cmpl	0
68	ENSG00000110514_exon_3_4	11	+	47269821	47269921	47269821	47269921	1	47269821	47269921	0	ENSG00000110514_exon_3_4	cmpl	cmpl	0
69	ENSG00000110514_exon_4_1	11	+	47270147	47270247	47270147	47270247	1	47270147	47270247	0	ENSG00000110514_exon_4_1	cmpl	cmpl	0
70	ENSG00000110514_exon_5_1	11	+	47272243	47272343	47272243	47272343	1	47272243	47272343	0	ENSG00000110514_exon_5_1	cmpl	cmpl	0
71	ENSG00000110514_exon_6_1	11	+	47273826	47273926	47273826	47273926	1	47273826	47273926	0	ENSG00000110514_exon_6_1	cmpl	cmpl	0
72	ENSG00000110514_exon_6_2	11	+	47273876	47273976	47273876	47273976	1	47273876	47273976	0	ENSG00000110514_exon_6_2	cmpl	cmpl	0
73	ENSG00000110514_exon_6_3	11	+	47273926	47274026	47273926	47274026	1	47273926	47274026	0	ENSG00000110514_exon_6_3	cmpl	cmpl	0
74	ENSG00000110514_exon_7_1	11	+	47274562	47274662	47274562	47274662	1	47274562	47274662	0	ENSG00000110514_exon_7_1	cmpl	cmpl	0
75	ENSG00000110514_exon_7_2	11	+	47274612	47274712	47274612	47274712	1	47274612	47274712	0	ENSG00000110514_exon_7_2	cmpl	cmpl	0
76	ENSG00000110514_exon_7_3	11	+	47274662	47274762	47274662	47274762	1	47274662	47274762	0	ENSG00000110514_exon_7_3	cmpl	cmpl	0
77	ENSG00000110514_exon_7_4	11	+	47274712	47274812	47274712	47274812	1	47274712	47274812	0	ENSG00000110514_exon_7_4	cmpl	cmpl	0
78	ENSG00000110514_exon_7_5	11	+	47274762	47274862	47274762	47274862	1	47274762	47274862	0	ENSG00000110514_exon_7_5	cmpl	cmpl	0
79	ENSG00000110514_exon_7_6	11	+	47274812	47274912	47274812	47274912	1	47274812	47274912	0	ENSG00000110514_exon_7_6	cmpl	cmpl	0
80	ENSG00000110514_exon_7_7	11	+	47274862	47274962	47274862	47274962	1	47274862	47274962	0	ENSG00000110514_exon_7_7	cmpl	cmpl	0
81	ENSG00000110514_exon_7_8	11	+	47274912	47275012	47274912	47275012	1	47274912	47275012	0	ENSG00000110514_exon_7_8	cmpl	cmpl	0
82	ENSG00000110514_exon_7_9	11	+	47274962	47275062	47274962	47275062	1	47274962	47275062	0	ENSG00000110514_exon_7_9	cmpl	cmpl	0
83	ENSG00000110514_exon_7_10	11	+	47275012	47275112	47275012	47275112	1	47275012	47275112	0	ENSG00000110514_exon_7_10	cmpl	cmpl	0
84	ENSG00000110514_exon_7_11	11	+	47275062	47275162	47275062	47275162	1	47275062	47275162	0	ENSG00000110514_exon_7_11	cmpl	cmpl	0
85	ENSG00000110514_exon_8_1	11	+	47275898	47275998	47275898	47275998	1	47275898	47275998	0	ENSG00000110514_exon_8_1	cmpl	cmpl	0
86	ENSG00000110514_exon_8_2	11	+	47275948	47276048	47275948	47276048	1	47275948	47276048	0	ENSG00000110514_exon_8_2	cmpl	cmpl	0
87	ENSG00000110514_exon_8_3	11	+	47275998	47276098	47275998	47276098	1	47275998	47276098	0	ENSG00000110514_exon_8_3	cmpl	cmpl	0
88	ENSG00000110514_exon_8_4	11	+	47276048	47276148	47276048	47276148	1	47276048	47276148	0	ENSG00000110514_exon_8_4	cmpl	cmpl	0
89	ENSG00000110514_exon_8_5	11	+	47276098	47276198	47276098	47276198	1	47276098	47276198	0	ENSG00000110514_exon_8_5	cmpl	cmpl	0
90	ENSG00000110514_exon_8_6	11	+	47276148	47276248	47276148	47276248	1	47276148	47276248	0	ENSG00000110514_exon_8_6	cmpl	cmpl	0
91	ENSG00000110514_exon_9_1	11	+	47276704	47276804	47276704	47276804	1	47276704	47276804	0	ENSG00000110514_exon_9_1	cmpl	cmpl	0
92	ENSG00000110514_exon_9_2	11	+	47276754	47276854	47276754	47276854	1	47276754	47276854	0	ENSG00000110514_exon_9_2	cmpl	cmpl	0
93	ENSG00000110514_exon_9_3	11	+	47276804	47276904	47276804	47276904	1	47276804	47276904	0	ENSG00000110514_exon_9_3	cmpl	cmpl	0
94	ENSG00000110514_exon_10_1	11	+	47278164	47278264	47278164	47278264	1	47278164	47278264	0	ENSG00000110514_exon_10_1	cmpl	cmpl	0
95	ENSG00000110514_exon_10_2	11	+	47278214	47278314	47278214	47278314	1	47278214	47278314	0	ENSG00000110514_exon_10_2	cmpl	cmpl	0
96	ENSG00000110514_exon_11_1	11	+	47278998	47279098	47278998	47279098	1	47278998	47279098	0	ENSG00000110514_exon_11_1	cmpl	cmpl	0
97	ENSG00000110514_exon_12_1	11	+	47281574	47281674	47281574	47281674	1	47281574	47281674	0	ENSG00000110514_exon_12_1	cmpl	cmpl	0
98	ENSG00000110514_exon_12_2	11	+	47281624	47281724	47281624	47281724	1	47281624	47281724	0	ENSG00000110514_exon_12_2	cmpl	cmpl	0
99	ENSG00000110514_exon_12_3	11	+	47281674	47281774	47281674	47281774	1	47281674	47281774	0	ENSG00000110514_exon_12_3	cmpl	cmpl	0
100	ENSG00000110514_exon_13_1	11	+	47282380	47282480	47282380	47282480	1	47282380	47282480	0	ENSG00000110514_exon_13_1	cmpl	cmpl	0
101	ENSG00000110514_exon_13_2	11	+	47282430	47282530	47282430	47282530	1	47282430	47282530	0	ENSG00000110514_exon_13_2	cmpl	cmpl	0
102	ENSG00000110514_exon_13_3	11	+	47282480	47282580	47282480	47282580	1	47282480	47282580	0	ENSG00000110514_exon_13_3	cmpl	cmpl	0
103	ENSG00000110514_exon_13_4	11	+	47282530	47282630	47282530	47282630	1	47282530	47282630	0	ENSG00000110514_exon_13_4	cmpl	cmpl	0
104	ENSG00000110514_exon_14_1	11	+	47282812	47282912	47282812	47282912	1	47282812	47282912	0	ENSG00000110514_exon_14_1	cmpl	cmpl	0
105	ENSG00000110514_exon_14_2	11	+	47282862	47282962	47282862	47282962	1	47282862	47282962	0	ENSG00000110514_exon_14_2	cmpl	cmpl	0
106	ENSG00000110514_exon_14_3	11	+	47282912	47283012	47282912	47283012	1	47282912	47283012	0	ENSG00000110514_exon_14_3	cmpl	cmpl	0
107	ENSG00000110514_exon_15_1	11	+	47284177	47284277	47284177	47284277	1	47284177	47284277	0	ENSG00000110514_exon_15_1	cmpl	cmpl	0
108	ENSG00000110514_exon_15_2	11	+	47284227	47284327	47284227	47284327	1	47284227	47284327	0	ENSG00000110514_exon_15_2	cmpl	cmpl	0
109	ENSG00000110514_exon_16_1	11	+	47284374	47284474	47284374	47284474	1	47284374	47284474	0	ENSG00000110514_exon_16_1	cmpl	cmpl	0
110	ENSG00000110514_exon_16_2	11	+	47284424	47284524	47284424	47284524	1	47284424	47284524	0	ENSG00000110514_exon_16_2	cmpl	cmpl	0
111	ENSG00000110514_exon_16_3	11	+	47284474	47284574	47284474	47284574	1	47284474	47284574	0	ENSG00000110514_exon_16_3	cmpl	cmpl	0
112	ENSG00000110514_exon_17_1	11	+	47284940	47285040	47284940	47285040	1	47284940	47285040	0	ENSG00000110514_exon_17_1	cmpl	cmpl	0
113	ENSG00000110514_exon_17_2	11	+	47284990	47285090	47284990	47285090	1	47284990	47285090	0	ENSG00000110514_exon_17_2	cmpl	cmpl	0
114	ENSG00000110514_exon_17_3	11	+	47285040	47285140	47285040	47285140	1	47285040	47285140	0	ENSG00000110514_exon_17_3	cmpl	cmpl	0
115	ENSG00000110514_exon_17_4	11	+	47285090	47285190	47285090	47285190	1	47285090	47285190	0	ENSG00000110514_exon_17_4	cmpl	cmpl	0
116	ENSG00000110514_exon_17_5	11	+	47285140	47285240	47285140	47285240	1	47285140	47285240	0	ENSG00000110514_exon_17_5	cmpl	cmpl	0
117	ENSG00000110514_exon_18_1	11	+	47285270	47285370	47285270	47285370	1	47285270	47285370	0	ENSG00000110514_exon_18_1	cmpl	cmpl	0
118	ENSG00000110514_exon_18_2	11	+	47285320	47285420	47285320	47285420	1	47285320	47285420	0	ENSG00000110514_exon_18_2	cmpl	cmpl	0
119	ENSG00000110514_exon_18_3	11	+	47285370	47285470	47285370	47285470	1	47285370	47285470	0	ENSG00000110514_exon_18_3	cmpl	cmpl	0
120	ENSG00000110514_exon_18_4	11	+	47285420	47285520	47285420	47285520	1	47285420	47285520	0	ENSG00000110514_exon_18_4	cmpl	cmpl	0
121	ENSG00000110514_exon_18_5	11	+	47285470	47285570	47285470	47285570	1	47285470	47285570	0	ENSG00000110514_exon_18_5	cmpl	cmpl	0
122	ENSG00000110514_exon_18_6	11	+	47285520	47285620	47285520	47285620	1	47285520	47285620	0	ENSG00000110514_exon_18_6	cmpl	cmpl	0
123	ENSG00000110514_exon_19_1	11	+	47286432	47286532	47286432	47286532	1	47286432	47286532	0	ENSG00000110514_exon_19_1	cmpl	cmpl	0
124	ENSG00000110514_exon_19_2	11	+	47286482	47286582	47286482	47286582	1	47286482	47286582	0	ENSG00000110514_exon_19_2	cmpl	cmpl	0
125	ENSG00000110514_exon_20_1	11	+	47288967	47289067	47288967	47289067	1	47288967	47289067	0	ENSG00000110514_exon_20_1	cmpl	cmpl	0
126	ENSG00000110514_exon_21_1	11	+	47289390	47289490	47289390	47289490	1	47289390	47289490	0	ENSG00000110514_exon_21_1	cmpl	cmpl	0
127	ENSG00000110514_exon_21_2	11	+	47289440	47289540	47289440	47289540	1	47289440	47289540	0	ENSG00000110514_exon_21_2	cmpl	cmpl	0
128	ENSG00000110514_exon_22_1	11	+	47289866	47289966	47289866	47289966	1	47289866	47289966	0	ENSG00000110514_exon_22_1	cmpl	cmpl	0
129	ENSG00000110514_exon_22_2	11	+	47289916	47290016	47289916	47290016	1	47289916	47290016	0	ENSG00000110514_exon_22_2	cmpl	cmpl	0
130	ENSG00000110514_exon_22_3	11	+	47289966	47290066	47289966	47290066	1	47289966	47290066	0	ENSG00000110514_exon_22_3	cmpl	cmpl	0
131	ENSG00000110514_exon_22_4	11	+	47290016	47290116	47290016	47290116	1	47290016	47290116	0	ENSG00000110514_exon_22_4	cmpl	cmpl	0
132	ENSG00000110514_exon_23_1	11	+	47290148	47290248	47290148	47290248	1	47290148	47290248	0	ENSG00000110514_exon_23_1	cmpl	cmpl	0
133	ENSG00000110514_exon_23_2	11	+	47290198	47290298	47290198	47290298	1	47290198	47290298	0	ENSG00000110514_exon_23_2	cmpl	cmpl	0
134	ENSG00000110514_exon_23_3	11	+	47290248	47290348	47290248	47290348	1	47290248	47290348	0	ENSG00000110514_exon_23_3	cmpl	cmpl	0
135	ENSG00000110514_exon_24_1	11	+	47290609	47290709	47290609	47290709	1	47290609	47290709	0	ENSG00000110514_exon_24_1	cmpl	cmpl	0
136	ENSG00000110514_exon_24_2	11	+	47290659	47290759	47290659	47290759	1	47290659	47290759	0	ENSG00000110514_exon_24_2	cmpl	cmpl	0
137	ENSG00000110514_exon_24_3	11	+	47290709	47290809	47290709	47290809	1	47290709	47290809	0	ENSG00000110514_exon_24_3	cmpl	cmpl	0
138	ENSG00000110514_exon_24_4	11	+	47290759	47290859	47290759	47290859	1	47290759	47290859	0	ENSG00000110514_exon_24_4	cmpl	cmpl	0
139	ENSG00000110514_exon_25_1	11	+	47292526	47292626	47292526	47292626	1	47292526	47292626	0	ENSG00000110514_exon_25_1	cmpl	cmpl	0
140	ENSG00000110514_exon_26_1	11	+	47293882	47293982	47293882	47293982	1	47293882	47293982	0	ENSG00000110514_exon_26_1	cmpl	cmpl	0
141	ENSG00000110514_exon_26_2	11	+	47293932	47294032	47293932	47294032	1	47293932	47294032	0	ENSG00000110514_exon_26_2	cmpl	cmpl	0
142	ENSG00000110514_exon_27_1	11	+	47295495	47295595	47295495	47295595	1	47295495	47295595	0	ENSG00000110514_exon_27_1	cmpl	cmpl	0
143	ENSG00000110514_exon_28_1	11	+	47295896	47295996	47295896	47295996	1	47295896	47295996	0	ENSG00000110514_exon_28_1	cmpl	cmpl	0
144	ENSG00000110514_exon_28_2	11	+	47295946	47296046	47295946	47296046	1	47295946	47296046	0	ENSG00000110514_exon_28_2	cmpl	cmpl	0
145	ENSG00000110514_exon_28_3	11	+	47295996	47296096	47295996	47296096	1	47295996	47296096	0	ENSG00000110514_exon_28_3	cmpl	cmpl	0
146	ENSG00000110514_exon_29_1	11	+	47308590	47308690	47308590	47308690	1	47308590	47308690	0	ENSG00000110514_exon_29_1	cmpl	cmpl	0
147	ENSG00000110514_exon_29_2	11	+	47308640	47308740	47308640	47308740	1	47308640	47308740	0	ENSG00000110514_exon_29_2	cmpl	cmpl	0
148	ENSG00000110514_exon_30_1	11	+	47308979	47309079	47308979	47309079	1	47308979	47309079	0	ENSG00000110514_exon_30_1	cmpl	cmpl	0
149	ENSG00000110514_exon_31_1	11	+	47309280	47309380	47309280	47309380	1	47309280	47309380	0	ENSG00000110514_exon_31_1	cmpl	cmpl	0
150	ENSG00000110514_exon_31_2	11	+	47309330	47309430	47309330	47309430	1	47309330	47309430	0	ENSG00000110514_exon_31_2	cmpl	cmpl	0
151	ENSG00000110514_exon_32_1	11	+	47309506	47309606	47309506	47309606	1	47309506	47309606	0	ENSG00000110514_exon_32_1	cmpl	cmpl	0
152	ENSG00000110514_exon_32_2	11	+	47309556	47309656	47309556	47309656	1	47309556	47309656	0	ENSG00000110514_exon_32_2	cmpl	cmpl	0
153	ENSG00000110514_exon_33_1	11	+	47311731	47311831	47311731	47311831	1	47311731	47311831	0	ENSG00000110514_exon_33_1	cmpl	cmpl	0
154	ENSG00000110514_exon_33_2	11	+	47311781	47311881	47311781	47311881	1	47311781	47311881	0	ENSG00000110514_exon_33_2	cmpl	cmpl	0
155	ENSG00000110514_exon_34_1	11	+	47315219	47315319	47315219	47315319	1	47315219	47315319	0	ENSG00000110514_exon_34_1	cmpl	cmpl	0
156	ENSG00000110514_exon_34_2	11	+	47315269	47315369	47315269	47315369	1	47315269	47315369	0	ENSG00000110514_exon_34_2	cmpl	cmpl	0
157	ENSG00000110514_exon_35_1	11	+	47323670	47323770	47323670	47323770	1	47323670	47323770	0	ENSG00000110514_exon_35_1	cmpl	cmpl	0
158	ENSG00000110514_exon_35_2	11	+	47323720	47323820	47323720	47323820	1	47323720	47323820	0	ENSG00000110514_exon_35_2	cmpl	cmpl	0
159	ENSG00000110514_exon_35_3	11	+	47323770	47323870	47323770	47323870	1	47323770	47323870	0	ENSG00000110514_exon_35_3	cmpl	cmpl	0
160	ENSG00000110514_exon_36_1	11	+	47324264	47324364	47324264	47324364	1	47324264	47324364	0	ENSG00000110514_exon_36_1	cmpl	cmpl	0
161	ENSG00000110514_exon_37_1	11	+	47324470	47324570	47324470	47324570	1	47324470	47324570	0	ENSG00000110514_exon_37_1	cmpl	cmpl	0
162	ENSG00000110514_exon_37_2	11	+	47324520	47324620	47324520	47324620	1	47324520	47324620	0	ENSG00000110514_exon_37_2	cmpl	cmpl	0
163	ENSG00000110514_exon_37_3	11	+	47324570	47324670	47324570	47324670	1	47324570	47324670	0	ENSG00000110514_exon_37_3	cmpl	cmpl	0
164	ENSG00000110514_exon_37_4	11	+	47324620	47324720	47324620	47324720	1	47324620	47324720	0	ENSG00000110514_exon_37_4	cmpl	cmpl	0
165	ENSG00000110514_exon_37_5	11	+	47324670	47324770	47324670	47324770	1	47324670	47324770	0	ENSG00000110514_exon_37_5	cmpl	cmpl	0
166	ENSG00000110514_exon_37_6	11	+	47324720	47324820	47324720	47324820	1	47324720	47324820	0	ENSG00000110514_exon_37_6	cmpl	cmpl	0
167	ENSG00000110514_exon_37_7	11	+	47324770	47324870	47324770	47324870	1	47324770	47324870	0	ENSG00000110514_exon_37_7	cmpl	cmpl	0
168	ENSG00000110514_exon_37_8	11	+	47324820	47324920	47324820	47324920	1	47324820	47324920	0	ENSG00000110514_exon_37_8	cmpl	cmpl	0
169	ENSG00000110514_exon_37_9	11	+	47324870	47324970	47324870	47324970	1	47324870	47324970	0	ENSG00000110514_exon_37_9	cmpl	cmpl	0
170	ENSG00000110514_exon_37_10	11	+	47324920	47325020	47324920	47325020	1	47324920	47325020	0	ENSG00000110514_exon_37_10	cmpl	cmpl	0
171	ENSG00000110514_exon_37_11	11	+	47324970	47325070	47324970	47325070	1	47324970	47325070	0	ENSG00000110514_exon_37_11	cmpl	cmpl	0
172	ENSG00000110514_exon_39_1	11	+	47326737	47326837	47326737	47326837	1	47326737	47326837	0	ENSG00000110514_exon_39_1	cmpl	cmpl	0
173	ENSG00000110514_exon_39_2	11	+	47326787	47326887	47326787	47326887	1	47326787	47326887	0	ENSG00000110514_exon_39_2	cmpl	cmpl	0
174	ENSG00000110514_exon_39_3	11	+	47326837	47326937	47326837	47326937	1	47326837	47326937	0	ENSG00000110514_exon_39_3	cmpl	cmpl	0
175	ENSG00000110514_exon_39_4	11	+	47326887	47326987	47326887	47326987	1	47326887	47326987	0	ENSG00000110514_exon_39_4	cmpl	cmpl	0
176	ENSG00000110514_exon_39_5	11	+	47326937	47327037	47326937	47327037	1	47326937	47327037	0	ENSG00000110514_exon_39_5	cmpl	cmpl	0
177	ENSG00000110514_exon_39_6	11	+	47326987	47327087	47326987	47327087	1	47326987	47327087	0	ENSG00000110514_exon_39_6	cmpl	cmpl	0
